intraday_price,market_cap,price_change,stock_name,volume
12.56,4.269B,(+0.24%),"ChargePoint Holdings, Inc. (CHPT)","7,644,727"
25.70,2.638B,(+1.17%),"Syneos Health, Inc. (SYNH)","7,363,327"
148.83,185.167B,(-0.16%),"T-Mobile US, Inc. (TMUS)","7,357,176"
31.74,28.731B,(-0.63%),STMicroelectronics N.V. (STM),"8,492,262"
8.49,7.755B,(0.00%),ADT Inc. (ADT),"7,402,686"
10.98,3.993B,(-0.73%),"The Gap, Inc. (GPS)","7,298,627"
183.42,354.668B,(-0.16%),Chevron Corporation (CVX),"7,243,406"
142.23,83.353B,(+0.15%),"EOG Resources, Inc. (EOG)","7,877,846"
37.07,32.059B,(-0.19%),"Walgreens Boots Alliance, Inc. (WBA)","7,478,691"
44.01,24.722B,(+0.32%),Sea Limited (SE),"7,532,323"
63.22,86.647B,(-0.03%),"Mondelez International, Inc. (MDLZ)","7,507,330"
6.97,3.826B,(+1.15%),"Marqeta, Inc. (MQ)","7,942,399"
20.48,6.03B,(+2.54%),"Confluent, Inc. (CFLT)","7,388,137"
10.84,40.837B,(-3.14%),ING Groep N.V. (ING),"7,578,682"
67.13,55.886B,(+1.44%),"Dominion Energy, Inc. (D)","7,478,720"
78.80,154.825B,(-0.57%),"NextEra Energy, Inc. (NEE)","6,242,672"
22.80,9.874B,(+0.70%),Cameco Corporation (CCJ),"7,607,945"
53.04,183.422B,(+0.23%),BHP Group Limited (BHP),"7,705,827"
45.13,87.404B,(+0.16%),Citigroup Inc. (C),"14,575,159"
123.73,31.544B,(+0.25%),Atlassian Corporation (TEAM),"15,573,087"
6.24,15.578B,(-0.80%),United Microelectronics Corporation (UMC),"14,339,115"
7.59,2.458B,(+0.40%),JetBlue Airways Corporation (JBLU),"15,103,907"
31.43,30.27B,(+0.22%),VICI Properties Inc. (VICI),"14,898,560"
3.1600,3.4B,(-0.32%),B2Gold Corp. (BTG),"15,615,999"
39.00,55.407B,(-0.49%),General Motors Company (GM),"14,422,106"
73.27,68.25B,(+0.11%),Occidental Petroleum Corporation (OXY),"15,876,297"
14.79,8.568B,(+0.07%),Plug Power Inc. (PLUG),"16,407,158"
11.68,14.657B,(0.00%),KE Holdings Inc. (BEKE),"15,495,920"
15.57,10.207B,(+0.32%),Paramount Global (PARA),"16,457,661"
22.39,15.186B,(+0.27%),"Pinterest, Inc. (PINS)","14,803,769"
53.10,75.295B,(+0.19%),Schlumberger Limited (SLB),"16,497,279"
1.6500,3.772B,(-0.61%),Lufax Holding Ltd (LU),"16,806,964"
40.58,24.217B,(+0.20%),Roblox Corporation (RBLX),"16,551,608"
16.94,7.138B,(+0.24%),Norwegian Cruise Line Holdings Ltd. (NCLH),"17,029,338"
49.59,6.84B,(-0.04%),"Roku, Inc. (ROKU)","17,165,307"
16.12,4.676B,(-0.12%),"Affirm Holdings, Inc. (AFRM)","16,617,477"
15.38,22.189B,(+0.13%),Huntington Bancshares Incorporated (HBAN),"16,228,671"
37.24,156.401B,(+0.08%),Verizon Communications Inc. (VZ),"17,116,999"
8.47,9.754B,(-0.59%),Teva Pharmaceutical Industries Limited (TEVA),"23,512,544"
112.31,462.525B,(-0.13%),Exxon Mobil Corporation (XOM),"17,037,821"
2.5000,4.928B,(+0.40%),"Ginkgo Bioworks Holdings, Inc. (DNA)","23,659,657"
2.4400,2.102B,(+0.82%),"iQIYI, Inc. (IQ)","24,206,656"
6.16,23.993B,(0.00%),Sirius XM Holdings Inc. (SIRI),"17,429,031"
4.8700,22.774B,(+1.03%),Nu Holdings Ltd. (NU),"25,559,082"
47.22,265.015B,(-0.04%),Pfizer Inc. (PFE),"22,718,384"
18.17,40.841B,(0.00%),"Kinder Morgan, Inc. (KMI)","17,427,293"
4.3700,24.48B,(-0.23%),Nokia Oyj (NOK),"27,017,135"
